Well,Strain,Biorep,Techrep,Medium
A1,,,,YPD
A2,,,,YPD
A3,,,,YPD
A4,,,,YPD
A5,,,,YPD
A6,,,,YPD
A7,,,,YPD
A8,,,,YPD
A9,,,,YPD
A10,,,,YPD
A11,,,,YPD
A12,,,,YPD
B1,,,,YPD
B2,H99,1,1,YPD
B3,Gat201(B),1,1,YPD
B4,Gat201(M),2,1,YPD
B5,H99,3,1,YPD
B6,Gat201(B),3,1,YPD
B7,Gat201(M),4,1,YPD
B8,H99,5,1,YPD
B9,Gat201(B),5,1,YPD
B10,Gat201(M),6,1,YPD
B11,H99,7,1,YPD
B12,,,,YPD
C1,,,,YPD
C2,H99,1,2,YPD
C3,Gat201(B),1,2,YPD
C4,Gat201(M),2,2,YPD
C5,H99,3,2,YPD
C6,Gat201(B),3,2,YPD
C7,Gat201(M),4,2,YPD
C8,H99,5,2,YPD
C9,Gat201(B),5,2,YPD
C10,Gat201(M),6,2,YPD
C11,H99,7,2,YPD
C12,,,,YPD
D1,,,,YPD
D2,H99,1,3,YPD
D3,Gat201(B),1,3,YPD
D4,Gat201(M),2,3,YPD
D5,H99,3,3,YPD
D6,Gat201(B),3,3,YPD
D7,Gat201(M),4,3,YPD
D8,H99,5,3,YPD
D9,Gat201(B),5,3,YPD
D10,Gat201(M),6,3,YPD
D11,Gat201(M),7,1,YPD
D12,,,,YPD
E1,,,,YPD
E2,Gat201(M),1,1,YPD
E3,H99,2,1,YPD
E4,Gat201(B),2,1,YPD
E5,Gat201(M),3,1,YPD
E6,H99,4,1,YPD
E7,Gat201(B),4,1,YPD
E8,Gat201(M),5,1,YPD
E9,H99,6,1,YPD
E10,Gat201(B),6,1,YPD
E11,Gat201(M),7,2,YPD
E12,,,,YPD
F1,,,,YPD
F2,Gat201(M),1,2,YPD
F3,H99,2,2,YPD
F4,Gat201(B),2,2,YPD
F5,Gat201(M),3,2,YPD
F6,H99,4,2,YPD
F7,Gat201(B),4,2,YPD
F8,Gat201(M),5,2,YPD
F9,H99,6,2,YPD
F10,Gat201(B),6,2,YPD
F11,Gat201(B),7,1,YPD
F12,,,,YPD
G1,,,,YPD
G2,Gat201(M),1,3,YPD
G3,H99,2,3,YPD
G4,Gat201(B),2,3,YPD
G5,Gat201(M),3,3,YPD
G6,H99,4,3,YPD
G7,Gat201(B),4,3,YPD
G8,Gat201(M),5,3,YPD
G9,H99,6,3,YPD
G10,Gat201(B),6,3,YPD
G11,Gat201(B),7,2,YPD
G12,,,,YPD
H1,,,,YPD
H2,,,,YPD
H3,,,,YPD
H4,,,,YPD
H5,,,,YPD
H6,,,,YPD
H7,,,,YPD
H8,,,,YPD
H9,,,,YPD
H10,,,,YPD
H11,,,,YPD
H12,,,,YPD
